Maker,Type,Coil Center,Thickness ,Max lines,Suggest Min Trim loss (mm),Max MC weight (KG),Min MC Width (mm),Max MC Width (mm),Min Trim loss (mm)
NSSC,All,HSC,1.8<T≤2.0,13,8,20000,100,1300,6
NSSC,All,HSC,2.0<T≤2.3,12,8,20000,100,1300,6
NSSC,All,HSC,2.3<T≤3.2,10,8,20000,100,1300,7
NSSC,All,HSC,3.2<T≤3.9,9,12,20000,100,1300,8
NSSC,All,HSC,3.9<T≤4.2,5,13,20000,100,1300,8
NSSC,All,HSC,4.2<T≤6.0,5,13,20000,100,1300,10
POSCOVST,All,HSC,≤0.8,20,6,20000,100,1300,5
POSCOVST,All,HSC,0.8<T≤1.0,18,6,20000,100,1300,6
POSCOVST,All,HSC,1.0<T≤1.2,17,7,20000,100,1300,6
POSCOVST,All,HSC,1.2<T≤1.6,15,7,20000,100,1300,6
POSCOVST,All,HSC,1.6<T≤1.8,14,7,20000,100,1300,6
POSCOVST,All,HSC,1.8<T≤2.0,13,8,20000,100,1300,6
POSCOVST,All,HSC,2.0<T≤2.3,12,8,20000,100,1300,6
POSCOVST,All,HSC,2.3<T≤3.2,10,8,20000,100,1300,7
POSCOVST,All,HSC,3.2<T≤3.9,9,12,20000,100,1300,8
POSCOVST,All,HSC,3.9<T≤4.2,5,13,20000,100,1300,8
POSCOVST,All,HSC,4.2<T≤6.0,5,13,20000,100,1300,10
CSC ,All,HSC,≤0.8,20,6,20000,100,1300,5
CSC ,All,HSC,0.8<T≤1.0,18,6,20000,100,1300,6
CSC ,All,HSC,1.0<T≤1.2,17,7,20000,100,1300,6
CSC ,All,HSC,1.2<T≤1.6,15,7,20000,100,1300,6
CSC ,All,HSC,1.6<T≤1.8,14,7,20000,100,1300,6
CSC ,All,HSC,1.8<T≤2.0,13,8,20000,100,1300,6
CSC ,All,HSC,2.0<T≤2.3,12,8,20000,100,1300,6
CSC ,All,HSC,2.3<T≤3.2,10,8,20000,100,1300,7
CSC ,All,HSC,3.2<T≤3.9,9,12,20000,100,1300,8
